Country,Life_expectancy,Unemployment,Continent,,
Afghanistan,63.30,8.52,Asia,,
Angola,61.19,6.67,Africa,,
Albania,78.20,17.08,Europe,,
United_Arab_Emirates,77.48,3.81,Africa,,
Argentina,76.29,6.62,South America,,
Armenia,74.21,17.03,Asia,,
Australia,82.45,6.06,Australia,,
Austria,81.84,5.72,Europe,,
Azerbaijan,71.85,4.96,Asia,,
Burundi,57.07,1.62,Africa,,
Belgium,81.29,8.48,Europa,,
Benin,60.58,1.02,Africa,,
Burkina_Faso,59.84,3.08,Africa,,
Bangladesh,72.22,4.12,Asia,,
Bulgaria,74.47,9.14,Europe,, 
Bahrain,76.87,1.23,Asia,,
Bahamas,75.37,16.08,North America,,
Bosnia_and_Herzegovina,76.64,26.26,Europe,,
Belarus,73.62,0.51,Europe,,
Belize,70.31,9.97,North America,,
Bolivia,68.75,3.50,South America,,
Brazil,75.20,8.52,South America,,
Barbados,75.64,11.35,North America,,
Brunei_Darussalam,77.07,1.86,Asia,,
Bhutan,69.81,2.45,Asia,,
Botswana,65.75,17.86,Africa,,
Central_African_Republic,51.38,6.76,Africa,,
Canada,82.13,6.90,North America,,
Switzerland,83.20,4.55,Europe,,
Chile,79.16,6.21,South America,,
China,76.12,4.59,Asia,,
Cameroon,57.56,4.37,Africa,,
Congo_Dem_Rep.,59.17,3.67,Africa,,
Congo_Rep.,64.09,10.62,Africa,,
Colombia,74.16,8.95,South America,,
Comoros,63.46,19.88,Africa,,
Cabo_Verde,72.44,10.47,Africa,,
Costa_Rica,79.61,9.61,South America,,
Cuba,79.54,2.91,North America,,
Cyprus,80.29,14.91,Europe,,
Czech_Republic,79.47,5.05,Europe,,
Germany,81.09,4.62,Europe,,
Djibouti,62.25,6.60,Africa,,
Denmark,81.10,6.17,Europe,,
Dominican_Republic,73.70,14.40,North America,,
Algeria,75.86,11.00,Africa,,
Ecuador,76.08,4.77,South America,,
Egypt,71.30,12.84,Africa,,
Eritrea,64.62,7.18,Africa,,
Spain,83.38,22.06,Europe,,
Estonia,77.13,6.19,Europe,,
Ethiopia,65.01,5.27,Africa,,
Finland,81.39,9.38,Europe,,
Fiji,70.22,8.22,Oceania,,
France,82.67,10.36,Europe,,
Gabon,65.68,19.11,Africa,,
United_Kingdom,81.60,5.30,Europe,,
Georgia,72.97,11.96,Europe,,
Ghana,62.41,5.54,Africa,,
Guinea,59.40,6.90,Africa,,
Gambia,60.96,29.57,Africa,,
Guinea-Bissau,56.95,6.55,Africa,,
Equatorial_Guinea,57.51,6.96,Africa,,
Greece,81.59,24.90,Africa,,
Guatemala,73.04,2.42,North America,,
Guam,79.38,11.08,Oceania,,
Guyana,66.54,11.60,South America,,
Hong_Kong,84.28,3.28,Asia,,
Honduras,73.32,7.38,North America,,
Croatia,77.28,16.28,Europe,,
Haiti,63.01,13.49,North America,,
Hungary,75.96,6.81,Europe,,
Indonesia,69.04,5.99,Asia,,
India,68.33,3.49,Asia,,
Ireland,81.50,9.40,Europe,,
Iran,75.74,11.06,Asia,,
Iraq,69.63,15.48,Asia,,
Iceland,82.86,3.98,Europe,,
Israel,82.05,5.25,Asia,,
Italy,83.49,11.90,Europe,,
Jamaica,75.81,13.31,North America,,
Jordan,74.19,13.10,Asia,,
Japan,83.84,3.40,Asia,,
Kazakhstan,72.00,4.97,Asia,,
Kenya,66.65,11.29,Africa,,
Kyrgyz_Republic,70.65,7.56,Asia,,
Cambodia,68.47,0.18,Asia,,
Korea,82.16,3.60,Asia,,
Kuwait,74.75,2.78,Asia,,
Lao_PDR,66.28,1.42,Asia,,
Lebanon,79.50,6.54,Asia,,
Liberia,61.98,3.87,Africa,,
Libya,71.83,19.22,Africa,,
St.Lucia,75.28,20.57,North America,,
Sri_Lanka,74.99,4.66,Asia,,
Lesotho,53.57,26.52,Africa,,
Lithuania,75.12,9.12,Europe,,
Luxembourg,82.23,6.67,Europe,,
Latvia,74.12,9.87,Europe,,
Morocco,75.52,9.70,Africa,,
Moldova,71.37,4.90,Europe,,
Madagascar,65.51,1.80,Africa,,
Maldives,77.12,3.87,Asia,,
Mexico,76.88,4.34,North America,,
Macedonia,75.52,26.07,Europe,,
Mali,57.46,8.14,Africa,,
Malta,81.95,5.39,Europe,,
Myanmar,66.39,0.80,Asia,,
Montenegro,76.86,17.52,Europe,,
Mongolia,69.12,7.45,Asia,,
Mozambique,57.61,24.67,Africa,,
Mauritania,63.05,11.12,Africa,,
Mauritius,74.35,7.92,Africa,,
Malawi,62.54,6.64,Africa,,
Malaysia,75.22,3.10,Asia,,
Namibia,63.64,26.94,Africa,,
New_Caledonia,77.77,14.54,Oceania,,
Niger,59.68,2.59,Africa,,
Nigeria,52.98,4.28,Africa,,
Nicaragua,75.04,5.61,North America,,
Netherlands,81.71,6.87,Europe,,
Norway,82.10,4.30,Europe,,
Nepal,69.87,3.03,Asia,,
New_Zealand,81.46,5.36,Oceania,,
Oman,77.12,17.25,Asia,,
Pakistan,66.33,5.90,Asia,,
Panama,77.82,5.35,North America,,
Peru,74.71,4.42,South America,,
Philippines,69.01,6.29,Asia,,
Papua_New_Guinea,65.39,2.48,Oceania,,
Poland,78.20,7.50,Europe,,
Puerto_Rico,79.60,12.03,North America,,
Portugal,81.52,12.44,Europe,,
Paraguay,73.04,5.29,North America,,
French_Polynesia,76.69,19.29,Oceania,,
Qatar,78.46,0.16,Asia,,
Romania,74.96,6.81,Europe,,
Russian_Federation,70.91,5.57,Asia,,
Rwanda,66.62,2.80,Africa,,
Saudi_Arabia,74.57,5.59,Asia,,
Sudan,64.23,13.18,Africa,,
Senegal,66.66,9.78,Africa,,
Singapore,82.60,1.69,Asia,,
Solomon_Islands,70.48,31.40,Oceania,,
Sierra_Leone,51.41,2.97,Africa,,
El_Salvador,73.00,6.18,North America,,
Somalia,55.87,6.67,Africa,,
Serbia,75.49,17.66,Europe,,
Sao_Tome_and_Principe,66.42,13.56,Africa,,
Suriname,71.29,8.39,South America,,
Slovak_Republic,77.21,11.48,Europe,,
Slovenia,81.08,8.96,Europe,,
Sweden,82.55,7.43,Europe,,
Swaziland,56.91,25.75,Africa,,
Syrian_Arab_Republic,70.25,14.54,Asia,,
Chad,52.55,5.78,Africa,,
Togo,59.92,6.81,Africa,,
Thailand,75.07,0.67,Asia,,
Tajikistan,71.01,10.78,Asia,,
Turkmenistan,67.64,8.72,Asia,,
Timor-Leste,68.58,3.63,Asia,,
Tonga,72.84,4.95,Oceania,,
Trinidad_and_Tobago,70.59,3.39,North America,,
Tunisia,75.50,15.15,Africa,,
Turkey,75.41,10.24,Asia,,
Tanzania,64.90,2.43,Africa,,
Uganda,59.51,2.15,Africa,,
Ukraine,71.19,9.14,Europe,,
Uruguay,77.13,7.30,South America,,
United_States,78.74,5.30,North America,,
Uzbekistan,71.15,8.92,Asia,,
St.Vincent_and_the_Grenadines,73.06,19.04,North America,,
Venezuela,74.39,6.82,South America,,
Virgin_Islands,79.87,9.21,North America,,
Vietnam,75.89,2.12,Asia,,
Vanuatu,71.98,5.28,Oceania,,
Samoa,74.84,7.73,Oceania,,
Yemen,64.73,18.11,Africa,,
Zambia,61.34,7.63,Africa,,
Zimbabwe,60.28,5.11,Africa,,
